"Company","Location","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","LaunchAddress","LaunchCitystate","LaunchCountry"
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/4/57","19:28:00",Sputnik 8K71PS,Sputnik-1,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","11/3/57","2:30:00",Sputnik 8K71PS,Sputnik-2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","12/6/57","16:44:00",Vanguard,Vanguard TV3,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA","2/1/58","3:48:00",Juno I,Explorer 1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","2/5/58","7:33:00",Vanguard,Vanguard TV3BU,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
AMBA,"LC-26A, Cape Canaveral AFS, Florida, USA","3/5/58","18:27:00",Juno I,Explorer 2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","3/17/58","12:15:00",Vanguard,Vanguard 1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","3/26/58","17:38:00",Juno I,Explorer 3,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/27/58","9:01:00",Sputnik 8A91,Sputnik-3 #1,Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","4/28/58","2:53:00",Vanguard,Vanguard TV5,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","5/15/58","7:12:00",Sputnik 8A91,Sputnik-3 #2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","5/28/58","3:46:00",Vanguard,Vanguard SLV-1,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","6/26/58","5:00:00",Vanguard,Vanguard SLV-2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","7/25/58","",NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","7/26/58","15:00:00",Juno I,Explorer 4,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/12/58","",NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","8/17/58","12:18:00",Thor-DM 18 Able I,Pioneer 0,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/22/58","",NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","8/24/58","6:17:00",Juno I,Explorer 5,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/25/58","",NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/26/58","",NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,"",Failure, Naval Air Station Point Mugu, California, USA
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA","8/29/58","",NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,"",Failure, Naval Air Station Point Mugu, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","9/23/58","7:40:00",Vostok,E-1 n†­1 (Luna-1),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","9/26/58","15:38:00",Vanguard,Vanguard SLV-3,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA","10/11/58","8:42:00",Thor-DM 18 Able I,Pioneer 1,Retired,"",Partial Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/11/58","21:41:00",Vostok,E-1 n†­2 (Luna-1),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","10/23/58","3:21:00",Juno I,Beacon 1,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA","11/8/58","7:30:00",Thor-DM 18 Able I,Pioneer 2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","12/4/58","18:18:00",Vostok,E-1 n†­3 (Luna-1),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA","12/6/58","5:44:00",Juno II,Pioneer 3,Retired,"",Partial Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA","12/18/58","23:02:00",SM-65B Atlas,SCORE,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","1/2/59","16:41:00",Vostok,Luna-1,Retired,"",Partial Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","2/17/59","15:55:00",Vanguard,Vanguard 2,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","2/28/59","21:49:00",Thor-DM18 Agena-A,Discoverer 1,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","4/13/59","21:18:00",Thor-DM18 Agena-A,Discoverer 2,Retired,"",Success, Vandenberg AFB, California, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","4/14/59","2:49:00",Vanguard,Vanguard SLV-5,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","6/3/59","20:09:00",Thor-DM18 Agena-A,Discoverer 3,Retired,"",Failure, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","6/18/59","8:08:00",Vostok,E-1A n†­1 (Luna-2),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","6/22/59","20:16:00",Vanguard,Vanguard SLV-6,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","6/25/59","22:47:00",Thor-DM18 Agena-A,Discoverer 4,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","8/7/59","14:24:00",Thor DM-18 Able-III,Explorer 6,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","8/13/59","19:00:00",Thor-DM18 Agena-A,Discoverer 5,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","8/19/59","19:24:00",Thor-DM18 Agena-A,Discoverer 6,Retired,"",Success, Vandenberg AFB, California, USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA","9/9/59","8:19:00",Atlas-D Mercury,Big Joe 1,Retired,"",Partial Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","9/12/59","6:39:00",Vostok,Luna-2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","9/17/59","14:34:00",Thor DM-18 Able-II,Transit 1A,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA","9/18/59","5:20:00",Vanguard,Vanguard 3,Retired,"",Partial Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/4/59","0:43:00",Vostok,Luna-3,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","11/7/59","20:28:00",Thor-DM18 Agena-A,Discoverer 7,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","11/20/59","19:25:00",Thor-DM18 Agena-A,Discoverer 8,Retired,"",Failure, Vandenberg AFB, California, USA
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA","11/26/59","7:26:00",Atlas-D Able,Pioneer P-3,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","2/4/60","18:51:00",Thor-DM18 Agena-A,Discoverer 9,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","2/19/60","20:15:00",Thor-DM18 Agena-A,Discoverer 10,Retired,"",Failure, Vandenberg AFB, California, USA
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA","2/26/60","17:25:00",Atlas-LV3 Agena-A,Midas 1,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","3/11/60","13:00:00",Thor DM-18 Able-IV,Pioneer 5,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","4/1/60","11:40:00",Thor DM-18 Able-II,TIROS-1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","4/13/60","12:02:00",Thor-DM21 Ablestar,Transit 1B,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/15/60","15:06:00",Vostok,E-3 n†­2 (Luna-3),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","4/15/60","20:30:00",Thor-DM18 Agena-A,Discoverer 11,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/16/60","",Vostok,E-3 n†­3 (Luna-3),Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","5/13/60","9:16:00",Thor DM-19 Delta,Echo 1,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","5/15/60","0:00:00",Vostok,Korabl-Sputnik 1,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA","5/24/60","17:36:00",Atlas-LV3 Agena-A,Midas 2,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","6/22/60","5:54:00",Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","6/29/60","22:00:00",Thor-DM18 Agena-A,Discoverer 12,Retired,"",Failure, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","7/28/60","9:31:00",Vostok,"1K n†­2 (Korabl-Sputnik 2)",Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
NASA,"LC-14, Cape Canaveral AFS, Florida, USA","7/29/60","13:13:00",Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","8/10/60","20:37:00",Thor-DM18 Agena-A,Discoverer 13,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","8/12/60","9:39:00",Thor DM-19 Delta,Echo 1A,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","8/18/60","19:57:00",Thor-DM18 Agena-A,Discoverer 14,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","8/18/60","19:58:00",Thor-DM21 Ablestar,Courier 1A,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","8/19/60","8:44:00",Vostok,Korabl-Sputnik 2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","9/13/60","22:14:00",Thor-DM18 Agena-A,Discoverer 15,Retired,"",Success, Vandenberg AFB, California, USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA","9/25/60","15:13:00",Atlas-D Able,Pioneer P-30,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","10/4/60","17:50:00",Thor-DM21 Ablestar,Courier 1B,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/10/60","14:27:00",Molniya,"1M n†­1 (Marsnik 1)",Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","10/11/60","20:33:00",Atlas-LV3 Agena-A,Samos 1,Retired,"",Failure, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/14/60","13:51:00",Molniya,"1M n†­2 (Marsnik 2)",Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","10/26/60","20:26:00",Thor DM-21 Agena-B,Discoverer 16,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","11/12/60","20:43:00",Thor DM-21 Agena-B,Discoverer 17,Retired,"",Success, Vandenberg AFB, California, USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA","11/21/60","14:00:00",Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","11/23/60","11:13:00",Thor DM-19 Delta,TIROS-2,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","11/30/60","19:50:00",Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","12/1/60","7:30:00",Vostok,Korabl-Sputnik 3,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
NASA,"LA-3, Wallops Flight Facility, Virginia, USA","12/4/60","21:14:00",Scout X-1,Explorer (S-56),Retired,"",Failure, Wallops Flight Facility, Virginia, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","12/7/60","20:20:00",Thor DM-21 Agena-B,Discoverer 18,Retired,"",Success, Vandenberg AFB, California, USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA","12/15/60","9:10:00",Atlas-D Able,Pioneer P-31,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA","12/19/60","16:15:00",Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","12/20/60","20:32:00",Thor DM-21 Agena-B,Discoverer 19,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","12/22/60","7:45:00",Vostok,"1K n†­5 (Korabl-Sputnik 3)",Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
NASA,"LC-5, Cape Canaveral AFS, Florida, USA","1/31/61","16:55:00",Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,"",Success, Cape Canaveral AFS, Florida, USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","1/31/61","20:21:00",Atlas-LV3 Agena-A,Samos 2,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","2/4/61","1:18:00",Molniya,"1VA n†­1 (Venera 1)",Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","2/12/61","0:34:00",Molniya,Venera 1,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
NASA,"LA-3, Wallops Flight Facility, Virginia, USA","2/16/61","13:05:00",Scout X-1,Explorer 9 (S-56A),Retired,"",Success, Wallops Flight Facility, Virginia, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","2/17/61","20:25:00",Thor DM-21 Agena-B,Discoverer 20,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","2/18/61","22:58:00",Thor DM-21 Agena-B,Discoverer 21,Retired,"",Success, Vandenberg AFB, California, USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA","2/21/61","14:12:00",Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","2/22/61","3:45:00",Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","3/9/61","6:29:00",Vostok,Korabl-Sputnik 4,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
NASA,"LC-5, Cape Canaveral AFS, Florida, USA","3/24/61","17:30:00",Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","3/25/61","5:54:00",Vostok,Korabl-Sputnik 5,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","3/25/61","15:17:00",Thor DM-19 Delta,Explorer 10,Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","3/30/61","20:34:00",Thor DM-21 Agena-B,Discoverer 22,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","4/8/61","19:21:00",Thor DM-21 Agena-B,Discoverer 23,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/12/61","6:07:00",Vostok,Vostok 1,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
NASA,"LC-14, Cape Canaveral AFS, Florida, USA","4/25/61","16:15:00",Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,"",Failure, Cape Canaveral AFS, Florida, USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA","5/5/61","14:34:00",Mercury-Redstone,Freedom 7 (MR-3),Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","6/8/61","21:16:00",Thor DM-21 Agena-B,Discoverer 24,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA","6/16/61","23:02:00",Thor DM-21 Agena-B,Discoverer 25,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","6/29/61","4:22:00",Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,"",Success, Cape Canaveral AFS, Florida, USA
NASA,"LA-3, Wallops Flight Facility, Virginia, USA","6/30/61","17:09:00",Scout X-1,Explorer (S-55),Retired,"",Failure, Wallops Flight Facility, Virginia, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","7/7/61","23:29:00",Thor DM-21 Agena-B,Discoverer 26,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","7/12/61","10:25:00",Thor DM-19 Delta,TIROS-3,Retired,"",Success, Cape Canaveral AFS, Florida, USA
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA","7/12/61","15:11:00",Atlas-LV3 Agena-B,Midas 3,Retired,"",Success, Vandenberg AFB, California, USA
NASA,"LC-5, Cape Canaveral AFS, Florida, USA","7/21/61","12:36:00",Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","7/21/61","22:35:00",Thor DM-21 Agena-B,Discoverer 27,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA","8/4/61","0:01:00",Thor DM-21 Agena-B,Discoverer 28,Retired,"",Failure, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","8/6/61","6:00:00",Vostok,Vostok 2,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","8/16/61","3:21:00",Thor DM-19 Delta,Explorer 12,Retired,"",Success, Cape Canaveral AFS, Florida, USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA","8/23/61","10:04:00",Atlas-LV3 Agena-B,Ranger 1,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
NASA,"LA-3, Wallops Flight Facility, Virginia, USA","8/25/61","18:29:00",Scout X-1,Explorer 13,Retired,"",Partial Failure, Wallops Flight Facility, Virginia, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","8/30/61","20:00:00",Thor DM-21 Agena-B,Discoverer 29,Retired,"",Success, Vandenberg AFB, California, USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","9/9/61","19:28:00",Atlas-LV3 Agena-B,Samos 3,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","9/12/61","19:59:00",Thor DM-21 Agena-B,Discoverer 30,Retired,"",Success, Vandenberg AFB, California, USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA","9/13/61","14:04:00",Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,"",Success, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA","9/17/61","21:00:00",Thor DM-21 Agena-B,Discoverer 31,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","10/13/61","19:22:00",Thor DM-21 Agena-B,Discoverer 32,Retired,"",Success, Vandenberg AFB, California, USA
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA","10/21/61","13:53:00",Atlas-LV3 Agena-B,Midas 4,Retired,"",Partial Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA","10/23/61","19:23:00",Thor DM-21 Agena-B,Discoverer 33,Retired,"",Failure, Vandenberg AFB, California, USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia","10/27/61","16:30:00",Cosmos-2I (63S1),DS-1 1,Retired,"",Failure,Mayak-2, Kapustin Yar, Russia
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA","11/1/61","15:32:00",Blue Scout II,Mercury-Scout 1 (MS-1),Retired,"",Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA","11/5/61","20:00:00",Thor DM-21 Agena-B,Discoverer 34,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","11/15/61","21:23:00",Thor DM-21 Agena-B,Discoverer 35,Retired,"",Success, Vandenberg AFB, California, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","11/15/61","22:26:00",Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,"",Success, Cape Canaveral AFS, Florida, USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA","11/18/61","8:12:00",Atlas-LV3 Agena-B,Ranger 2,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA","11/22/61","20:45:00",Atlas-LV3 Agena-B,Samos 4,Retired,"",Failure, Vandenberg AFB, California, USA
NASA,"LC-14, Cape Canaveral AFS, Florida, USA","11/29/61","15:08:00",Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","12/11/61","9:39:00",Vostok,Zenit-2 n†­1,Retired,"",Failure,Site 1/5, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","12/12/61","20:40:00",Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Mayak-2, Kapustin Yar, Russia","12/21/61","12:30:00",Cosmos-2I (63S1),DS-1 2,Retired,"",Failure,Mayak-2, Kapustin Yar, Russia
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA","12/22/61","19:12:00",Atlas-LV3 Agena-B,Samos 5,Retired,"",Partial Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA","1/13/62","21:41:00",Thor DM-21 Agena-B,Discoverer 37,Retired,"",Failure, Vandenberg AFB, California, USA
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA","1/24/62","9:30:00",Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,"",Failure, Cape Canaveral AFS, Florida, USA
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA","1/26/62","20:30:00",Atlas-LV3 Agena-B,Ranger 3,Retired,"",Partial Failure, Cape Canaveral AFS, Florida, USA
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA","2/8/62","12:43:00",Thor DM-19 Delta,TIROS-4,Retired,"",Success, Cape Canaveral AFS, Florida, USA
