"Company","Location","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","LaunchAddress","LaunchCitystate","LaunchCountry"
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","4/9/69","13:00:00",Voskhod,Cosmos 278,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/11/69","2:30:00",Molniya-M /Block L,Molniya-1 n†­16,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA","4/13/69","2:30:00",Atlas-SLV3A Agena-D,Canyon 2 (AFP-827),Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","4/15/69","8:14:00",Voskhod,Cosmos 279,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","4/15/69","17:30:00",Titan IIIB,OPS 5310,Retired,"59.00",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","4/23/69","9:55:00",Voskhod,Cosmos 280,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","5/13/69","9:15:00",Voskhod,Cosmos 281,Retired,"",Partial Failure,Site 41/1, Plesetsk Cosmodrome, Russia
NASA,"LC-39B, Kennedy Space Center, Florida, USA","5/18/69","16:49:00",Saturn V,Apollo 10,Retired,"1160.00",Success, Kennedy Space Center, Florida, USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","5/20/69","8:40:00",Voskhod,Cosmos 282,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA","5/23/69","7:57:00",Titan IIIC,"OPS-6909, OPS-6911, OV5-5, OV5-6, OV5-9",Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","5/27/69","13:00:00",Cosmos-2I (63SM),Cosmos 283,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","5/29/69","6:59:00",Voskhod,Cosmos 284,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","6/3/69","12:57:00",Cosmos-2I (63SM),Cosmos 285,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","6/3/69","16:49:00",Titan IIIB,OPS 1077,Retired,"59.00",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","6/12/69","6:00:00",Cosmos-3MRB (65MRB),BOR-2 Shuttle,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","6/14/69","23:59:00",Proton K/Block D,Luna-15b,Retired,"",Failure,Site 81/24, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","6/15/69","8:59:00",Voskhod,Cosmos 286,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","6/24/69","6:50:00",Voskhod,Cosmos 287,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","6/27/69","6:59:00",Voskhod,Cosmos 288,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
CECLES,"LA-5B, RAAF Woomera Range Complex, Australia","7/3/69","8:06:00",Europa 1,STV-2,Retired,"",Failure,LA-5B, RAAF Woomera Range Complex, Australia
RVSN USSR,"Site 110/38, Baikonur Cosmodrome, Kazakhstan","7/3/69","20:18:00",N1-L3,"5L (Zond L1S-2)",Retired,"",Failure,Site 110/38, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","7/10/69","9:00:00",Voskhod,Cosmos 289,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA","7/16/69","13:32:00",Saturn V,Apollo 11,Retired,"1160.00",Success, Kennedy Space Center, Florida, USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","7/22/69","12:30:00",Voskhod,Cosmos 290,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","7/22/69","12:55:00",Molniya-M /Block L,Molniya-1 n†­18,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","7/23/69","9:00:00",Cosmos-2I (63SM),DS-P1-You #23,Retired,"",Failure,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan","8/6/69","5:40:00",Tsyklon-2,Cosmos 291,Retired,"",Success,Site 90/19, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan","8/7/69","23:48:00",Proton K/Block D,Zond-7,Retired,"",Success,Site 81/23, Baikonur Cosmodrome, Kazakhstan
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA","8/12/69","11:01:00",Atlas-SLV3C Centaur-D,ATS-5,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","8/13/69","22:00:00",Cosmos-3M (11K65M),Cosmos 292,Retired,"",Success,Site 132/2, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","8/16/69","11:59:00",Voskhod,Cosmos 293,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","8/19/69","13:00:00",Voskhod,Cosmos 294,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","8/22/69","14:14:00",Cosmos-2I (63SM),Cosmos 295,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","8/23/69","16:00:00",Titan III(23)B,OPS 7807,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","8/29/69","9:05:00",Voskhod,Cosmos 296,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","9/2/69","11:00:00",Voskhod,Cosmos 297,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 191/66, Baikonur Cosmodrome, Kazakhstan","9/15/69","16:00:00",Tsyklon,Cosmos 298,Retired,"",Success,Site 191/66, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","9/18/69","8:40:00",Voskhod,Cosmos 299,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
UT,"Uchinoura Space Center, Japan","9/22/69","",Lambda-IV S,Osumi,Retired,"",Failure,,Uchinoura Space Center, Japan
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","9/23/69","15:00:00",Proton K/Block D,Cosmos 300 (luna-16a),Retired,"",Success,Site 81/24, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","9/24/69","12:15:00",Voskhod,Cosmos 301,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","10/6/69","1:45:00",Vostok-2M,Meteor n†­13,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","10/11/69","11:10:00",Soyuz,Soyuz 6,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/12/69","10:44:00",Soyuz,Soyuz 7,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","10/13/69","10:19:00",Soyuz,Soyuz 8,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","10/14/69","13:19:00",Cosmos-2I (63SM),Intercosmos-1,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","10/17/69","11:45:00",Voskhod,Cosmos 302,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","10/18/69","10:00:00",Cosmos-2I (63SM),Cosmos 303,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","10/21/69","12:49:00",Cosmos-3M (11K65M),Cosmos 304,Retired,"",Success,Site 132/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","10/22/69","14:09:00",Proton K/Block D,Cosmos 305 (Luna-16b),Retired,"",Failure,Site 81/24, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","10/24/69","9:40:00",Voskhod,Cosmos 306,Retired,"",Success,Site 1/5, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","10/24/69","13:01:00",Cosmos-2I (63SM),Cosmos 307,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","10/24/69","18:10:00",Titan III(23)B,OPS 8455,Retired,"",Success, Vandenberg AFB, California, USA
Yuzhmash,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","11/1/69","10:59:00",Tsyklon-2,IS Mass Model,Retired,"",Success,Site 90/20, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","11/4/69","12:00:00",Cosmos-2I (63SM),Cosmos 308,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","11/12/69","11:30:00",Voskhod,Cosmos 309,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA","11/14/69","16:22:00",Saturn V,Apollo 12,Retired,"1160.00",Success, Kennedy Space Center, Florida, USA
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","11/15/69","8:30:00",Voskhod,Cosmos 310,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
CASC,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China","11/16/69","",Long March 1,Test flight,Retired,"",Failure,Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","11/24/69","11:04:00",Cosmos-2I (63SM),Cosmos 311,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","11/24/69","16:49:00",Cosmos-3M (11K65M),Cosmos 312,Retired,"",Success,Site 132/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan","11/28/69","9:00:00",Proton K/Block D,Zond (L1E),Retired,"",Failure,Site 81/23, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","12/3/69","13:20:00",Voskhod,Cosmos 313,Retired,"",Success,Site 43/4, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","12/11/69","12:59:00",Cosmos-2I (63SM),Cosmos 314,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","12/20/69","3:26:00",Cosmos-3M (11K65M),Cosmos 315,Retired,"",Success,Site 132/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan","12/23/69","9:25:00",Tsyklon-2,Cosmos 316,Retired,"",Success,Site 90/20, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","12/23/69","13:50:00",Voskhod,Cosmos 317,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","12/25/69","9:59:00",Cosmos-2I (63SM),Intercosmos-2,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia","12/27/69","14:20:00",Cosmos-3M (11K65M),Ionosfernaya #1,Retired,"",Failure,Site 132/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","1/9/70","9:20:00",Voskhod,Cosmos 318,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","1/14/70","18:43:00",Titan III(23)B,OPS 6531,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","1/15/70","13:40:00",Cosmos-2I (63SM),Cosmos 319,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 86/1, Kapustin Yar, Russia","1/16/70","10:59:00",Cosmos-2I (63SM),Cosmos 320,Retired,"",Success,Site 86/1, Kapustin Yar, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","1/20/70","20:20:00",Cosmos-2I (63SM),Cosmos 321,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","1/21/70","12:00:00",Voskhod,Cosmos 322,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","1/30/70","15:40:00",Cosmos-2I (63SM),DS-P1-I #6,Retired,"",Failure,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan","2/6/70","4:16:00",Proton K/Block D,Luna-16c,Retired,"",Failure,Site 81/23, Baikonur Cosmodrome, Kazakhstan
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","2/10/70","12:00:00",Voskhod,Cosmos 323,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
UT,"Uchinoura Space Center, Japan","2/11/70","4:25:00",Lambda-IV S,Osumi,Retired,"",Success,,Uchinoura Space Center, Japan
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","2/17/70","18:57:00",Molniya-M /Block L,Molniya-1 n†­17,Retired,"",Success,Site 43/4, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","2/27/70","17:24:00",Cosmos-2I (63SM),Cosmos 324,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","3/4/70","12:14:00",Voskhod,Cosmos 325,Retired,"",Success,Site 43/4, Plesetsk Cosmodrome, Russia
CNES,"ELD, Guiana Space Centre, French Guiana, France","3/10/70","15:20:00",Diamant B,WIKA & MIKA,Retired,"",Success, Guiana Space Centre, French Guiana, France
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","3/13/70","8:00:00",Voskhod,Cosmos 326,Retired,"",Success,Site 43/4, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","3/17/70","11:10:00",Vostok-2M,Meteor n†­14,Retired,"",Partial Failure,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","3/18/70","14:39:00",Cosmos-2I (63SM),Cosmos 327,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","3/27/70","11:45:00",Voskhod,Cosmos 328,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia","4/3/70","8:30:00",Voskhod,Cosmos 329,Retired,"",Success,Site 43/4, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","4/7/70","11:10:00",Cosmos-3M (11K65M),Cosmos 330,Retired,"",Success,Site 132/2, Plesetsk Cosmodrome, Russia
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","4/8/70","10:15:00",Voskhod,Cosmos 331,Retired,"",Success,Site 31/6, Baikonur Cosmodrome, Kazakhstan
Martin Marietta,"SLC-40, Cape Canaveral AFS, Florida, USA","4/8/70","10:50:00",Titan IIIC,Vela 11 & 12,Retired,"",Success, Cape Canaveral AFS, Florida, USA
RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia","4/11/70","17:00:00",Cosmos-3M (11K65M),Cosmos 332,Retired,"",Success,Site 132/2, Plesetsk Cosmodrome, Russia
NASA,"LC-39A, Kennedy Space Center, Florida, USA","4/11/70","19:13:00",Saturn V,Apollo 13,Retired,"1160.00",Success, Kennedy Space Center, Florida, USA
RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia","4/15/70","9:00:00",Voskhod,Cosmos 333,Retired,"",Success,Site 41/1, Plesetsk Cosmodrome, Russia
US Air Force,"SLC-4W, Vandenberg AFB, California, USA","4/15/70","15:52:00",Titan III(23)B,OPS 2863,Retired,"",Success, Vandenberg AFB, California, USA
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia","4/23/70","13:20:00",Cosmos-2I (63SM),Cosmos 334,Retired,"",Success,Site 133/3, Plesetsk Cosmodrome, Russia
CASC,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China","4/24/70","13:35:00",Long March 1,Dong Fang Hong 1,Retired,"",Success,Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China
